sheet_id,total_mark
sheet_001,92
sheet_002,85
sheet_003,92
sheet_004,81
sheet_005,90
sheet_006,90
sheet_007,82
sheet_008,84
sheet_009,77
sheet_010,72
sheet_011,80
sheet_012,77
sheet_013,70
sheet_014,93
sheet_015,60
sheet_016,82
sheet_017,80
sheet_018,84
sheet_019,95
sheet_020,75
sheet_021,67
sheet_022,90
sheet_023,90
sheet_024,70
sheet_025,97
sheet_026,63
sheet_027,75
sheet_028,85
sheet_029,87
sheet_030,81
sheet_031,90
sheet_032,81
sheet_033,81
sheet_034,80
sheet_035,90
sheet_036,70
sheet_037,95
sheet_038,99
sheet_039,90
sheet_040,99
